epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,3251.5,2.07652,1.13476,0.83776,0.59149,0.6405,0.57405,0.21169,2.13544,1.23079,0.83366,0.0003368,0.0003368,0.0003368
128,3277.21,2.06856,1.14589,0.84798,0.63346,0.63558,0.59114,0.21552,2.12228,1.23,0.83405,0.0003236,0.0003236,0.0003236
129,3302.68,2.02295,1.13745,0.83792,0.63445,0.65014,0.60825,0.2162,2.11226,1.23368,0.83366,0.0003104,0.0003104,0.0003104
130,3328.06,2.05194,1.1513,0.84947,0.62189,0.62672,0.57688,0.21431,2.15785,1.25068,0.83778,0.0002972,0.0002972,0.0002972
131,3353.89,2.01609,1.11565,0.83753,0.62915,0.63774,0.60261,0.21957,2.15287,1.24589,0.83891,0.000284,0.000284,0.000284
132,3379.33,1.9907,1.1457,0.8385,0.6221,0.64624,0.60255,0.21594,2.10291,1.23596,0.83406,0.0002708,0.0002708,0.0002708
133,3404.31,1.97101,1.13788,0.84533,0.6264,0.63972,0.59965,0.21865,2.10488,1.2304,0.83422,0.0002576,0.0002576,0.0002576
134,3429.69,1.99258,1.13049,0.84056,0.6176,0.63499,0.58998,0.21521,2.12738,1.22974,0.83437,0.0002444,0.0002444,0.0002444
135,3455.71,2.05488,1.14578,0.85125,0.63241,0.62397,0.58903,0.21019,2.14227,1.2315,0.83418,0.0002312,0.0002312,0.0002312
136,3481.27,2.01121,1.11761,0.84406,0.6262,0.6281,0.60044,0.21564,2.15316,1.22691,0.83492,0.000218,0.000218,0.000218
137,3506.98,2.03355,1.11063,0.84167,0.62512,0.63622,0.59916,0.21317,2.16172,1.2271,0.83502,0.0002048,0.0002048,0.0002048
138,3532.54,2.00904,1.13134,0.84559,0.61119,0.63361,0.59314,0.21485,2.15163,1.22381,0.83474,0.0001916,0.0001916,0.0001916
139,3557.96,1.96931,1.09895,0.84267,0.63276,0.63085,0.59794,0.21959,2.13603,1.22121,0.83464,0.0001784,0.0001784,0.0001784
140,3583.65,2.07801,1.10282,0.8439,0.63657,0.63636,0.60032,0.21705,2.13045,1.22187,0.83313,0.0001652,0.0001652,0.0001652
141,3607.62,2.08904,1.2024,0.8471,0.63398,0.62534,0.59299,0.21225,2.14595,1.22599,0.83274,0.000152,0.000152,0.000152
142,3631.42,2.06489,1.20402,0.85035,0.61356,0.61983,0.57237,0.20889,2.14923,1.23153,0.83306,0.0001388,0.0001388,0.0001388
143,3655.19,1.97094,1.18557,0.84392,0.62077,0.62397,0.57692,0.21281,2.13863,1.23161,0.83362,0.0001256,0.0001256,0.0001256
144,3678.94,1.93617,1.18028,0.85204,0.62664,0.63361,0.58145,0.21537,2.14014,1.22875,0.83452,0.0001124,0.0001124,0.0001124
145,3702.74,2.01261,1.15556,0.84389,0.61912,0.62691,0.57387,0.21392,2.14007,1.22688,0.83408,9.92e-05,9.92e-05,9.92e-05
146,3726.48,1.93758,1.17072,0.8509,0.61416,0.62948,0.57999,0.21117,2.15612,1.22738,0.83373,8.6e-05,8.6e-05,8.6e-05
147,3750.37,1.9758,1.14546,0.84347,0.61812,0.6281,0.57986,0.21053,2.16014,1.22775,0.83389,7.28e-05,7.28e-05,7.28e-05
148,3774.03,1.94111,1.1643,0.84798,0.61013,0.62296,0.57905,0.21146,2.15233,1.22826,0.83394,5.96e-05,5.96e-05,5.96e-05
149,3797.66,1.94733,1.14285,0.84403,0.6053,0.63223,0.58777,0.21391,2.14816,1.22874,0.83417,4.64e-05,4.64e-05,4.64e-05
150,3821.73,1.9133,1.14009,0.84068,0.60684,0.63144,0.5906,0.2139,2.14899,1.23019,0.8347,3.32e-05,3.32e-05,3.32e-05
